SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
Bagram Air BaseBPM),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(34.9444758, 69.273567)","Bagram Airfield, Bagram, Afghanistan",1348
Dunaújváros Airport,Hungary,"(47.162494, 19.503304)",Hungary,"(47.4384587, 19.2522958)","Budapest, Budapest Airport (BUD), 1185 Hungary",1349
Barcelona-Gen J A Anzoategui AirportBLA),Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.1088481, -64.68979089999999)","General Jose Antonio Anzoategui International Airport (BLA), Barcelona, Anzoátegui, Venezuela",1350
Upland-Cable Airport,United States of America,"(37.09024, -95.712891)",United States,"(34.111058, -117.68485)","Cable Airport, 1749 W 13th St, Upland, CA 91786, USA",1351
Juba AirportJUB),South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(4.8675194, 31.6026841)","Juba International Airport (JUB), Juba, South Sudan",1352
"Colorado Springs-Peterson Field, COCOS)",United States of America,"(37.09024, -95.712891)",United States,"(38.8238616, -104.7000502)","Platte Avenue & Powers Blvd, Colorado Springs, CO 80916, USA",1353
Jumla Airport,Nepal,"(28.394857, 84.12400799999999)",Nepal,"(29.274439, 82.193322)","Jumla Airport (JUM), Chandannath 21200, Nepal",1354
Cape Town International AirportCPT),South Africa,"(-30.559482, 22.937506)",South Africa,"(-33.971463, 18.6020851)","Cape Town International Airport (CPT), Matroosfontein, Cape Town, 7490, South Africa",1355
Cape Town International AirportCPT),South Africa,"(-30.559482, 22.937506)",South Africa,"(-33.971463, 18.6020851)","Cape Town International Airport (CPT), Matroosfontein, Cape Town, 7490, South Africa",1356
 Taiynsha,Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(53.8435895, 69.7658214)","Tayinsha 150000, Kazakhstan",1357
East Midlands AirportEMA),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.82937399999999, -1.332134)","East Midlands Airport (EMA), Castle Donington, Derby DE74 2SA, UK",1358
Bucharest-Baneasa AirportBBU),Romania,"(45.943161, 24.96676)",Romania,"(44.502292, 26.101538)","Bucharest Baneasa International Airport (BBU), Șoseaua București-Ploiești 40, București, Romania",1359
Abéché Airport,Chad,"(15.454166, 18.732207)",Chad,"(13.8446672, 20.8493964)","Abéché Airport, Abeche, Chad",1360
Rionegro/Medellín-José María Córdova AirportMDE),Colombia,"(4.570868, -74.297333)",Colombia,"(6.170560999999999, -75.4271936)","José María Córdova International Airport, Aeropuerto Internacional José María Córdova, Rionegro, Antioquia, Colombia",1361
Bandanaira AirportNDA),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-4.5212659, 129.9050054)","Banda Naira Airport (NDA), Rajawali, Banda, Kabupaten Maluku Tengah, Maluku, Indonesia",1362
Managua-Augusto C Sandino AirportMGA),Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(12.1446517, -86.1713168)","Augusto Cesar Sandino International Airport (MGA), Km. 11 Carretera Norte, Managua 11072, Nicaragua",1363
Krems-Langenlois Airport,Austria,"(47.516231, 14.550072)",Austria,"(48.4457355, 15.6312678)","USFC Krems, Flughafenstraße 8, 3500 Krems an der Donau, Austria",1364
Berne-Belp AirportBRN),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.912222, 7.499167000000001)","Bern Airport, Flugplatzstrasse 31, 3123 Belp, Switzerland",1365
"Hyannis-Barnstable Airport, MAHYA)",United States of America,"(37.09024, -95.712891)",United States,"(41.6673379, -70.2847445)","Barnstable Municipal Airport, 480 Barnstable Rd, Hyannis, MA 02601, USA",1366
Saltillo AirportSLW),Mexico,"(23.634501, -102.552784)",Mexico,"(25.548904, -100.932106)","Carretera Saltillo - Monterrey Km 13.5, Aeropuerto Internacional Plan de Guadalupe, 25900 Ramos Arizpe, Coah., Mexico",1367
"Conway-Dennis F. Cantrell Field, AR",United States of America,"(37.09024, -95.712891)",United States,"(35.0209237, -92.5567101)","Dennis F Cantrell Field-Cws, 3250 Sand Gap Rd, Conway, AR 72032, USA",1368
Bouaké Airport,Cote d'Ivoire,"(7.539988999999999, -5.547079999999999)",Côte d'Ivoire,"(7.739444, -5.069167)","Bouake Airport (BYK), Bouaké, Côte d'Ivoire",1369
M'Banza Congo AirportSSY),Angola,"(-11.202692, 17.873887)",Angola,"(-6.268748, 14.2464981)","Mbanza Congo Airport (SSY), M'banza-Kongo, Angola",1370
near Nassau International Airport,Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(25.0439288, -77.4655212)","Lynden Pindling International Airport, Windsor Field Road, Nassau, The Bahamas",1371
 Brazzaville,Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,"(-4.2633597, 15.2428853)","Brazzaville, Republic of the Congo",1372
 Brazzaville,Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,"(-4.2633597, 15.2428853)","Brazzaville, Republic of the Congo",1373
Phnom Damrey,Cambodia,"(12.565679, 104.990963)",Cambodia,"(11.5528085, 104.8424864)","Confederation de la Russie (St. 110), infront of Phnom Penh International Airport, Kbal Damrey Village, 12406 Phnom Penh, Russian Federation Blvd. (110), Phnom Penh, Cambodia",1374
An Naeem Airstrip,Yemen,"(15.552727, 48.516388)",Yemen,"(21.6198184, 39.14619950000001)","An Naeem St, Jeddah 23526, Saudi Arabia",1375
Karakuzhur,Kyrgyzstan,"(41.20438, 74.766098)",Kyrgyzstan,"(41.20438, 74.766098)",Kyrgyzstan,1376
near KaminaCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-8.7368981, 24.9872821)","Kamina, Democratic Republic of the Congo",1377
Laramie Regional Airport,United States of America,"(37.09024, -95.712891)",United States,"(41.3201937, -105.6703447)","Laramie Regional Airport - LAR, 555 N General Brees Rd, Laramie, WY 82070, USA",1378
"Boston-Logan International Airport, MABOS)",United States of America,"(37.09024, -95.712891)",United States,"(42.3656132, -71.0095602)","Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA",1379
Egegik Airport,United States of America,"(37.09024, -95.712891)",United States,"(58.1857866, -157.3757321)","Egegik Airport (EGX), Egegik, AK 99579, USA",1380
Blenheim-Woodbourne AirportBHE),New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-41.51358800000001, 173.86765)","Marlborough Airport (BHE) Tancred Cres, Blenheim, Woodbourne 7206, New Zealand",1381
Chennai AirportMAA),India,"(20.593684, 78.96288)",India,"(12.994112, 80.1708668)","Chennai International Airport (MAA), GST Rd, Meenambakkam, Chennai, Tamil Nadu 600027, India",1382
 Milwaukee-General Mitchell Airport,United States of America,"(37.09024, -95.712891)",United States,"(42.9475534, -87.89664599999999)","General Mitchell International Airport (MKE), 5300 S Howell Ave, Milwaukee, WI 53207, USA",1383
"Santa Barbara Municipal Airport, CASBA)",United States of America,"(37.09024, -95.712891)",United States,"(34.4271935, -119.8398835)","Santa Barbara Airport (SBA), 500 James Fowler Rd, Santa Barbara, CA 93117, USA",1384
Zürich-Kloten AirportZRH),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(47.4582165, 8.5554755)","Zurich Airport (ZRH), 8058 Zürich-Flughafen, Switzerland",1385
Kizota,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-6.1686277, 35.7275364)","B 129, Dodoma, Tanzania",1386
Mulia Airport,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.7011479, 137.9601915)","Mulia Airport, Wuyukwi, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia",1387
"Nixon Fork Mine, AK",United States of America,"(37.09024, -95.712891)",United States,"(63.22918050000001, -154.7603361)","Nixon Fork Mine, McGrath, AK 99627, USA",1388
Acaricuara Airport,Colombia,"(4.570868, -74.297333)",Colombia,"(4.7469207, -72.9909582)","Sabanalarga, Casanare, Colombia",1389
near Pampa Hermosa,Peru,"(-9.189967, -75.015152)",Peru,"(-11.0443228, -75.46942849999999)","Santuario Nacional Pampa Hermosa, Peru",1390
Acarigua Airport,Venezuela,"(6.42375, -66.58973)",Venezuela,"(9.5492072, -69.234252)","Aeropuerto Acarigua-Araure, Via al Aeropuerto, Araure, Portuguesa, Venezuela",1391
Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt",1392
Tuzla Airfield,Romania,"(45.943161, 24.96676)",Romania,"(44.4586468, 18.7248264)","Tuzla International Airport, Dubrave Gornje 75273, Bosnia and Herzegovina",1393
near Wiesbaden AFBWIE/ETOU),Germany,"(51.165691, 10.451526)",Germany,"(50.04065259999999, 8.3271111)","65205 Wiesbaden, Germany",1394
near Zheng Zou Air Base,China,"(35.86166, 104.195397)",China,"(34.796169, 113.572184)","Zhongyuan, Zhengzhou, Henan, China, 450001",1395
near Zheng Zou Air Base,China,"(35.86166, 104.195397)",China,"(34.796169, 113.572184)","Zhongyuan, Zhengzhou, Henan, China, 450001",1396
Saint Petersburg-Pulkovo AirportLED),Russia,"(61.52401, 105.318756)",Russia,"(59.80291270000001, 30.2678391)","Pulkovo Airport (LED), Pulkovskoe sh., St Petersburg, Russia, 196140",1397
Birmingham International Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(33.5624269, -86.754126)","Birmingham-Shuttlesworth International Airport (BHM), 5900 Messer Airport Hwy, Birmingham, AL 35212, USA",1398
"São Paulo-Congonhas Airport, SPCGH)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.6273246, -46.6565842)","Congonhas-São Paulo Airport (CGH) - Av. Washington Luís, s/nº - Vila Congonhas, São Paulo - SP, 04626-911, Brazil",1399
Jeddah-King Abdulaziz International AirportJED),Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,"(21.6490968, 39.179365)","King Abdulaziz International Airport, Jeddah 23631, Saudi Arabia",1400
Mostar Airport,Bosnia and Herzegovina,"(43.915886, 17.679076)",Bosnia and Herzegovina,"(43.2830345, 17.8436959)","Mostar International Airport, Gnojnice 88000, Bosnia and Herzegovina",1401
Cardiff-Wales AirportCWL),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3985498, -3.3394574)","Cardiff Airport (CWL), Rhoose, Cardiff CF62 3BD, UK",1402
Cardiff-Wales AirportCWL),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3985498, -3.3394574)","Cardiff Airport (CWL), Rhoose, Cardiff CF62 3BD, UK",1403
"Fort Lauderdale-Executive Airport, FLFXE)",United States of America,"(37.09024, -95.712891)",United States,"(26.2005969, -80.1714202)","Fort Lauderdale Executive Airport, 6000 NW 21st Ave, Fort Lauderdale, FL 33309, USA",1404
"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BAEZE)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.8150044, -58.53482839999999)","Ezeiza International Airport, Autopista Tte Gral. Ricchieri Km 33,5, 1802 Ezeiza, Buenos Aires, Argentina",1405
Aarhus-Tirstrup AirportAAR),Denmark,"(56.26392, 9.501785)",Denmark,"(56.3075123, 10.6281027)","Aarhus Lufthavn A/S, Ny Lufthavnsvej 24, 8560 Kolind, Denmark",1406
Sharjah Airport,United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(25.3284352, 55.5122577)",Sharjah International Airport - Sharjah - United Arab Emirates,1407
"off Green Island, QLD",Australia,"(-25.274398, 133.775136)",Australia,"(-16.7597228, 145.9738016)","Green Island, QLD 4871, Australia",1408
Cotonou AirportCOO),Benin,"(9.30769, 2.315834)",Benin,"(6.356110999999999, 2.383333)","COO Airport (COO), Rue 2100, Cotonou, Benin",1409
Reus AirportREU),Spain,"(40.46366700000001, -3.74922)",Spain,"(41.1469852, 1.1537147)","Reus Airport, Autovía Tarragona-Reus, s/n, 43204 Reus, Tarragona, Spain",1410
Colombo-Bandaranaike International Airport,Sri Lanka,"(7.873053999999999, 80.77179699999999)",Sri Lanka,"(7.1801552, 79.8842521)","Bandaranaike International Airport (CMB), Canada Friendship Rd, Katunayake 11450, Sri Lanka",1411
Luena Airport,Angola,"(-11.202692, 17.873887)",Angola,"(-8.847951, 13.234862)","4 de Fevereiro International Airport (LAD), Luanda, Angola",1412
"Pueblo Memorial Airport, COPUB)",United States of America,"(37.09024, -95.712891)",United States,"(38.2859398, -104.4953346)","Pueblo Memorial Airport, 31201 Bryan Cir, Pueblo, CO 81001, USA",1413
Ghardaïa-Noumérat Airport,Algeria,"(28.033886, 1.659626)",Algeria,"(32.3784904, 3.8015247)","Noumérat - Moufdi Zakaria Airport (GHA), Ghardaia, Algeria",1414
Mulia Airport,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.7011479, 137.9601915)","Mulia Airport, Wuyukwi, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia",1415
near Baghdad International AirportSDA),Iraq,"(33.223191, 43.679291)",Iraq,"(33.267015, 44.2311592)","Baghdad International Airport, Airport St, Baghdad, Iraq",1416
Beijing-Capital Airport,China,"(35.86166, 104.195397)",China,"(40.0798573, 116.6031121)","Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",1417
Tashkent AirportTAS),Uzbekistan,"(41.377491, 64.585262)",Uzbekistan,"(41.257222, 69.281667)","Tashkent International Airport (TAS), Тошкент, Uzbekistan",1418
Tashkent AirportTAS),Uzbekistan,"(41.377491, 64.585262)",Uzbekistan,"(41.257222, 69.281667)","Tashkent International Airport (TAS), Тошкент, Uzbekistan",1419
Sturt Island,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(50.2280629, -125.1383228)","Sturt Island, Comox-Strathcona J, BC, Canada",1420
 München-Franz Josef Strauss Airport,Germany,"(51.165691, 10.451526)",Germany,"(48.3536621, 11.7750279)","Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",1421
 Sharm el Sheikh,Egypt,"(26.820553, 30.802498)",Egypt,"(27.9158175, 34.3299505)","Sharm El-Sheikh, Qesm Sharm Ash Sheikh, South Sinai Governorate, Egypt",1422
Terrace Bay Airport,Canada,"(56.130366, -106.346771)",Canada,"(48.814076, -87.09951699999999)","Terrace Bay Airport (YTJ), Terrace Bay, ON P0T, Canada",1423
 BiegaCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-2.4192, 28.6725)","Biega, Democratic Republic of the Congo",1424
Moskva-Sheremetyevo AirportSVO),Russia,"(61.52401, 105.318756)",Russia,"(55.9736482, 37.4125029)","Sheremetyevo International Airport, Khimki, Moscow Oblast, Russia, 141400",1425
Caracas,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.4805937, -66.90360629999999)","Caracas, Capital District, Venezuela",1426
Punta Cana Airport,Dominican Republic,"(18.735693, -70.162651)",Dominican Republic,"(18.562205, -68.3680809)","International Airport Punta Cana, Carretera, Punta Cana 23000, Dominican Republic",1427
Leeds/Bradford Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(53.86794339999999, -1.6615306)","Leeds Bradford Airport (LBA), Whitehouse Ln, Yeadon, Leeds LS19 7TU, UK",1428
near Mongu AirportMNR),Zambia,"(-13.133897, 27.849332)",Zambia,"(-15.2543075, 23.1568121)","Mongu Airport (MNR), Mongu, Zambia",1429
 Exuma International Airport,Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(23.5618757, -75.8759072)","Exuma International Airport (GGT), Moss Town, The Bahamas",1430
"Atlantic City-Bader Field, NJAIY)",United States of America,"(37.09024, -95.712891)",United States,"(39.3603006, -74.4566013)","Bader Field (AIY), Atlantic City, NJ 08401, USA",1431
Kolyadinets,Ukraine,"(48.379433, 31.16558)",Ukraine,"(50.593692, 34.0347877)","Kolyadynets', Sums'ka oblast, Ukraine",1432
Thompson Airport,Canada,"(56.130366, -106.346771)",Canada,"(55.8003067, -97.8629339)","Thompson Airport, 1 Airport Rd, Thompson, MB R8N 1M9, Canada",1433
"Minneapolis-St Paul International Airport, MNMSP)",United States of America,"(37.09024, -95.712891)",United States,"(44.8847554, -93.2222846)","Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",1434
"Minneapolis-St Paul International Airport, MNMSP)",United States of America,"(37.09024, -95.712891)",United States,"(44.8847554, -93.2222846)","Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",1435
Lockhart River Airport,Australia,"(-25.274398, 133.775136)",Australia,"(-12.7871346, 143.3049127)","Lockhart River Airport (IRG), Lockhart QLD 4871, Australia",1436
Lockhart River Airport,Australia,"(-25.274398, 133.775136)",Australia,"(-12.7871346, 143.3049127)","Lockhart River Airport (IRG), Lockhart QLD 4871, Australia",1437
Nassau International AirportNAS),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(25.0439288, -77.4655212)","Lynden Pindling International Airport, Windsor Field Road, Nassau, The Bahamas",1438
Stratford,New Zealand,"(-40.900557, 174.885971)",New Zealand,"(41.18454149999999, -73.1331651)","Stratford, CT, USA",1439
Stratford,New Zealand,"(-40.900557, 174.885971)",New Zealand,"(41.18454149999999, -73.1331651)","Stratford, CT, USA",1440
KisanganiCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(0.5185303, 25.2007728)","Kisangani, Democratic Republic of the Congo",1441
Hammerfest Airport,Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(70.679722, 23.668611)","Hammerfest Airport (HFT), 9600 Hammerfest, Norway",1442
near Pisco,Peru,"(-9.189967, -75.015152)",Peru,"(-13.7134562, -76.1841701)","Pisco, Peru",1443
Verkhnyaya Khava,Russia,"(61.52401, 105.318756)",Russia,"(51.8375076, 39.9312958)","Verkhnyaya Khava, Voronezhskaya oblast', Russia",1444
Kabul AirportKBL),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(34.565833, 69.21249999999999)","Hamid Karzai International Airport, 1,Great Massoud Avenue,Khwaja Rawash,Kabul, Afghanistan",1445
Bagay,Russia,"(61.52401, 105.318756)",Russia,"(17.632673, 121.70975)","Tuguegarao, Cagayan, Philippines",1446
Savusavu AirportSVU),Fiji,"(-17.713371, 178.065032)",Fiji,"(-16.8027789, 179.3403564)","Savusavu Airport (SVU), Hibiscus Hwy, Vanua Levu, Fiji",1447
Chico,United States of America,"(37.09024, -95.712891)",United States,"(39.7284944, -121.8374777)","Chico, CA, USA",1448
Chico,United States of America,"(37.09024, -95.712891)",United States,"(39.7284944, -121.8374777)","Chico, CA, USA",1449
Tehran-Mehrabad AirportTHR),Iran,"(32.427908, 53.688046)",Iran,"(35.68998819999999, 51.311241)","Mehrabad International Airport (THR), Tehran, Iran",1450
Lima-Jorge Chavez International Airport,Peru,"(-9.189967, -75.015152)",Peru,"(-12.0240527, -77.112036)","Jorge Chavez International Airport (LIM), Vía Expresa Elmer Faucett s/n, Callao 07031, Peru",1451
Necoclí Airport,Colombia,"(4.570868, -74.297333)",Colombia,"(8.4511448, -76.7780141)","Antioquia Airport (NCI), Necoclí, Antioquia, Colombia",1452
Manassas Regional-Harry P. Davis Field,United States of America,"(37.09024, -95.712891)",United States,"(38.7255746, -77.5123191)","Manassas Regional Airport, 10600 Harry J Parrish Blvd, Manassas, VA 20110, USA",1453
near Yaocun,China,"(35.86166, 104.195397)",China,"(35.650221, 109.436783)","Luochuan, Yan'an, Shaanxi, China",1454
"Los Angeles International Airport, CALAX)",United States of America,"(37.09024, -95.712891)",United States,"(33.9415889, -118.40853)","Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",1455
"off New London-Groton Airport, CTGON)",United States of America,"(37.09024, -95.712891)",United States,"(41.3301567, -72.0466658)","Groton-New London Airport, 155 Tower Ave, Groton, CT 06340, USA",1456
"off New London-Groton Airport, CTGON)",United States of America,"(37.09024, -95.712891)",United States,"(41.3301567, -72.0466658)","Groton-New London Airport, 155 Tower Ave, Groton, CT 06340, USA",1457
near Krepsko,Poland,"(51.919438, 19.145136)",Poland,"(53.6047671, 14.7440266)","Krępsko, Poland",1458
George Town-Exuma International AirportGGT),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(23.5618757, -75.8759072)","Exuma International Airport (GGT), Moss Town, The Bahamas",1459
Bost/Lashkar Gah AirportBST),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(31.5664718, 64.3623273)","Bost Airport, Lashkar Gah, Afghanistan",1460
 São Tomé Island Airport,Sao Tome and Principe,"(0.18636, 6.613080999999999)",São Tomé and Príncipe,"(0.377778, 6.713056)","São Tomé International Airpor (TMS), São Tomé, São Tomé and Príncipe",1461
"Myrtle Beach International Airport, SCMYR)",United States of America,"(37.09024, -95.712891)",United States,"(33.6822019, -78.92789429999999)","Myrtle Beach International Airport (MYR), 1100 Jetport Rd, Myrtle Beach, SC 29577, USA",1462
"Murfreesboro Municipal Airport, TN",United States of America,"(37.09024, -95.712891)",United States,"(35.8775976, -86.3796186)","Murfreesboro Municipal Airport, 1930 Memorial Blvd, Murfreesboro, TN 37129, USA",1463
La Ronge Airport,Canada,"(56.130366, -106.346771)",Canada,"(55.1480682, -105.2668605)","La Ronge (Barber Field) Airport (YVC), Hwy 102, La Ronge, SK S0J 1L0, Canada",1464
Frankfurt International AirportFRA),Germany,"(51.165691, 10.451526)",Germany,"(50.0379326, 8.562151799999999)","Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",1465
near Mersin,Turkey,"(38.963745, 35.243322)",Turkey,"(36.8121041, 34.6414811)","Mersin, Mesudiye Mahallesi, Akdeniz/Mersin Province, Turkey",1466
Brussel-Zaventem AirportBRU),Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium",1467
Brussel-Zaventem AirportBRU),Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium",1468
Brussel-Zaventem AirportBRU),Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium",1469
Brussel-Zaventem AirportBRU),Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium",1470
Brussel-Zaventem AirportBRU),Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium",1471
Bangalore-Hindustan AirportBLR),India,"(20.593684, 78.96288)",India,"(13.1986348, 77.7065928)","Kempegowda International Airport (BLR), KIAL Rd, Devanahalli, Bengaluru, Karnataka 560300, India",1472
 Adler/Sochi Airport,Russia,"(61.52401, 105.318756)",Russia,"(43.4487326, 39.9420245)","Sochi Int'l Airport, Bolshoy Szocsi, Krasnodarskiy kray, Russia, 354355",1473
Amisi ,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(56.94425, 24.216397)","Ulbrokas iela 11 - 39, Rīga, LV-1021, Latvia",1474
Zwedru ,Liberia,"(6.428055, -9.429499000000002)",Liberia,"(6.064944, -8.1393179)","Zwedru, Liberia",1475
Margarita Mountain,Uganda,"(1.373333, 32.290275)",Uganda,"(33.4725268, -117.3967071)","Santa Margarita Mountains, California, USA",1476
near Tersky,Russia,"(61.52401, 105.318756)",Russia,"(-20.4609435, -54.6343788)","R. Gen. Nepomuceno Costa, 637 - Vila Alba, Campo Grande - MS, 79100-430, Brazil",1477
Kousséri,Cameroon,"(7.369721999999999, 12.354722)",Cameroon,"(12.087083, 15.0148322)","Kousseri, Cameroon",1478
Guayaramerín Airport,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-10.8217725, -65.3463319)","Guayaramerín Airport (GYA), Guayaramerin, Bolivia",1479
Guayaramerín Airport,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-10.8217725, -65.3463319)","Guayaramerín Airport (GYA), Guayaramerin, Bolivia",1480
Kinshasa-N'Djili AirportFIH)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.386449199999999, 15.4453718)","N'Djili Airport (FIH), Kinshasa, Democratic Republic of the Congo",1481
"near Betz, Oise",France,"(46.227638, 2.213749)",France,"(49.15743399999999, 2.953427)","60620 Betz, France",1482
Mathiang ,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(7.471388999999999, 30.415)","Mathiang, South Sudan",1483
near Chifeng,China,"(35.86166, 104.195397)",China,"(42.25785, 118.886931)","Chifeng, Inner Mongolia, China",1484
Kisangani Airport,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(0.486974, 25.3326503)","Kisangani Bangoka International Airport (FKI), Democratic Republic of the Congo",1485
Khartoum-Civil AirportKRT),Sudan,"(12.862807, 30.217636)",Sudan,"(15.5927666, 32.5522355)","Khartoum International Airport (KRT), Khartoum, Sudan",1486
La Junta,Chile,"(-35.675147, -71.542969)",Chile,"(37.9850091, -103.5438321)","La Junta, CO 81050, USA",1487
Novoternovskiy,Russia,"(61.52401, 105.318756)",Russia,"(45.552, 42.2747081)","Novoternovskiy, Stavropolskiy kray, Russia, 356195",1488
"Greensburg-Decatur County Airport, IN",United States of America,"(37.09024, -95.712891)",United States,"(39.3279401, -85.5198126)","Greensburg Municipal Airport, 915 S Co Rd 200 W, Greensburg, IN 47240, USA",1489
Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras",1490
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo",1491
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo",1492
Chelyabinsk Airport,Russia,"(61.52401, 105.318756)",Russia,"(55.2978592, 61.51247)","Chelyabinsk International Airport, Balandino, Chelyabinskaya oblast', Russia, 454133",1493
Toronto-Pearson International Airport,Canada,"(56.130366, -106.346771)",Canada,"(43.67771760000001, -79.6248197)","Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",1494
Billings-Logan Field,United States of America,"(37.09024, -95.712891)",United States,"(45.8078759, -108.5417844)","Billings Logan International Airport, 1901 Terminal Cir, Billings, MT 59105, USA",1495
near WalikaleCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.4296737, 28.0742249)","Walikale, Democratic Republic of the Congo",1496
"Trenton Airport, ONYTR)",Canada,"(56.130366, -106.346771)",Canada,"(44.1136154, -77.53614619999999)","Canadian Forces Base Trenton, 6 Northstar Dr, Trenton, ON K8V 5P8, Canada",1497
Pointe Noire AirportPNR),Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,"(-4.809799, 11.882377)","Pointe Noire Airport (PNR), Ponton, Republic of the Congo",1498
near El-Thamad,Egypt,"(26.820553, 30.802498)",Egypt,"(29.6788889, 34.4483333)",Jurfat ath Thamad، قسم نخل، شمال سيناء، Egypt,1499
near El-Thamad,Egypt,"(26.820553, 30.802498)",Egypt,"(29.6788889, 34.4483333)",Jurfat ath Thamad، قسم نخل، شمال سيناء، Egypt,1500
