SubLocation,Country,latlon,place,sub_latlon,sub_place
near Ulmeni,Romania,"(45.943161, 24.96676)",Romania,"(47.466018, 23.3023648)","Ulmeni 437355, Romania"
"Ada, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.960727, -85.4954803)","Ada Township, MI, USA"
"Greensboro/High Point-Piedmont Triad International Airport, NCGSO)",United States of America,"(37.09024, -95.712891)",United States,,
"Greensboro/High Point-Piedmont Triad International Airport, NCGSO)",United States of America,"(37.09024, -95.712891)",United States,,
Quetta AirportUET),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(30.2490734, 66.94881900000001)","Quetta International Airport (UET), 12 km south-west of the city, Airport Rd, Quetta, Pakistan"
45 km28.1 mls) NW of Rumbek,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,,
Harare AirportHRE),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,"(-17.918784, 31.097279)","Box AP120,, Harare International Airport (HRE), Harare, Zimbabwe"
Wajir AirportWJR),Kenya,"(-0.023559, 37.906193)",Kenya,"(1.733306, 40.091751)","Wajir Airport (WJR), Wajir, Kenya"
Doro Airstrip,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(19.1648109, 72.85327149999999)","Gala No. 9, Navpada, Opp. Udipi Hotel, Aarey Road, Behind Meenakshi Hotel, Goregaon (East), Unnat Nagar, Jay Prakash Nagar, Goregaon East, Mumbai, Maharashtra 400063, India"
"Coari Airport, AMCIZ)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Bucharest-Otopeni International AirportOTP),Romania,"(45.943161, 24.96676)",Romania,"(44.5707306, 26.0844123)","Henri Coandă International Airport (OTP), Calea Bucureştilor 224E, Otopeni 075150, Romania"
"1,8 km1.1 mls) N of Lubbock Preston Smith International Airport, TXLBB)",United States of America,"(37.09024, -95.712891)",United States,,
Santo Domingo-Las Américas International AirportSDQ),Dominican Republic,"(18.735693, -70.162651)",Dominican Republic,"(18.4307498, -69.67657559999999)","Aeropuerto Las Américas, Ruta 66 Salida Del Aeropuerto Las Americas, Santo Domingo, Dominican Republic"
off Annobón Island,Equatorial Guinea,"(1.650801, 10.267895)",Equatorial Guinea,,
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo"
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo"
Chisinau AirportKIV),Moldova,"(47.411631, 28.369885)",Moldova,"(46.93517, 28.935167)","Chișinău International Airport (KIV), Bd. Dacia nr. 80/3, Chișinău 2026, Moldova"
Hanoi,Vietnam,"(14.058324, 108.277199)",Vietnam,"(21.0277644, 105.8341598)","Hanoi, Hoàn Kiếm, Hanoi, Vietnam"
"160 km100 mls) N of Nain, NF",Canada,"(56.130366, -106.346771)",Canada,,
3 km1.9 mls) from  MwanzaHTMW),Tanzania,"(-6.369028, 34.888822)",Tanzania,,
Lawa-Antino Airport,Suriname,"(3.919305, -56.027783)",Suriname,,
Lawa-Antino Airport,Suriname,"(3.919305, -56.027783)",Suriname,,
Odense-Beldringe AirportODE),Denmark,"(56.26392, 9.501785)",Denmark,"(55.475834, 10.329445)","Odense Airport (ODE), Lufthavnvej 131, 5270 Odense N, Denmark"
"3,7 km2.3 mls) NNE of London-Biggin Hill AirportBQH)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Limoges-Bellegarde AirportLIG),France,"(46.227638, 2.213749)",France,"(45.8609331, 1.1787627)","Aéroport International de Limoges, 81 Avenue de l'Aéroport, 87100 Limoges, France"
Udaipur-Dabok AirportUDR),India,"(20.593684, 78.96288)",India,,
Dhaka-Zia International AirportDAC),Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(23.846615, 90.4026234)","Hazrat Shahjalal International Airport (DAC), Airport Road, Sector 1, Kurmitola, Dhaka 1229, Bangladesh"
Dhaka-Zia International AirportDAC),Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(23.846615, 90.4026234)","Hazrat Shahjalal International Airport (DAC), Airport Road, Sector 1, Kurmitola, Dhaka 1229, Bangladesh"
34 km21.3 mls) from  Tumeremo,Venezuela,"(6.42375, -66.58973)",Venezuela,,
"near Bushi Village, Obanliku",Nigeria,"(9.081999, 8.675277)",Nigeria,,
Sétif-Ain Arat AirportQSF),Algeria,"(28.033886, 1.659626)",Algeria,,
Batam-Hang Nadim AirportBTH),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(1.1219253, 104.1182972)","Hang Nadim Airport (BTH), Jl. Hang Nadim No.01, Batu Besar, Nongsa, Kota Batam, Kepulauan Riau 29466, Indonesia"
Cape Town International AirportCPT),South Africa,"(-30.559482, 22.937506)",South Africa,"(-33.971463, 18.6020851)","Cape Town International Airport (CPT), Matroosfontein, Cape Town, 7490, South Africa"
Samara AirportKUF),Russia,"(61.52401, 105.318756)",Russia,"(53.5123015, 50.15723209999999)","Kurumoch Int'l Airport, Самара, Samarskaya oblast', Russia, 443901"
Samara AirportKUF),Russia,"(61.52401, 105.318756)",Russia,"(53.5123015, 50.15723209999999)","Kurumoch Int'l Airport, Самара, Samarskaya oblast', Russia, 443901"
"Ostromechevo, Brest district",Belarus,"(53.709807, 27.953389)",Belarus,,
 International AirportKWI),Kuwait,"(29.31166, 47.481766)",Kuwait,"(29.2397327, 47.97115669999999)","Kuwait International Airport (KWI), Gazali Expressway, Kuwait"
Kochi AirportKCZ),Japan,"(36.204824, 138.252924)",Japan,,
Dubai AirportDXB),United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(25.2531745, 55.3656728)",Dubai International Airport (DXB) - Dubai - United Arab Emirates
Mogadishu International AirportMGQ),Somalia,"(5.152149, 46.199616)",Somalia,"(2.0178354, 45.3037924)","Aden Adde International Airport (MGQ), Mogadishu, Somalia"
Yogyakarta-Adisutjipto AirportJOG),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-7.787683799999999, 110.4317613)","Adisucipto International Airport (JOG), Jl. Raya Solo KM.9, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282, Indonesia"
"0,4 km0.3 mls) NE of Ruhnu Airport",Estonia,"(58.595272, 25.013607)",Estonia,,
Valencia AirportVLN),Venezuela,"(6.42375, -66.58973)",Venezuela,,
Geneina AirportEGN),Sudan,"(12.862807, 30.217636)",Sudan,"(13.4833639, 22.4668962)","Geneina Airport (EGN), Al Junaynah, Sudan"
London-Heathrow AirportLHR),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.4700223, -0.4542955)","Heathrow Airport (LHR), Longford TW6, UK"
"Cleveland-Hopkins International Airport, OHCLE)",United States of America,"(37.09024, -95.712891)",United States,"(41.4124339, -81.84799249999999)","Cleveland Hopkins International Airport (CLE), 5300 Riverside Dr, Cleveland, OH 44135, USA"
Surabaya-Juanda AirportSUB),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-7.3788851, 112.7872891)","Juanda International Airport (SUB), Jl. Ir. H. Juanda, Betro, Sedati, Kabupaten Sidoarjo, Jawa Timur 61253, Indonesia"
Las Palmas-Gando Air BaseLPA),Spain,"(40.46366700000001, -3.74922)",Spain,,
near WalikaleCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.4296737, 28.0742249)","Walikale, Democratic Republic of the Congo"
Wangerooge AirportAGE),Germany,"(51.165691, 10.451526)",Germany,,
ca 19 km SSE of Wamena AirportWMX),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Salerno FOB,Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
"19 km11.9 mls) SE off  Sydney-Kingsford Smith International Airport, NSWSYD)",Australia,"(-25.274398, 133.775136)",Australia,,
Capurganá AirportCPB),Colombia,"(4.570868, -74.297333)",Colombia,,
"Pologi, Zaporizhya region",Ukraine,"(48.379433, 31.16558)",Ukraine,,
Caticlan-Malay AirportMPH),Philippines,"(12.879721, 121.774017)",Philippines,"(11.9253057, 121.9535061)","Boracay Airport (MPH), Aklan West Road, Malay, 5608 Aklan, Philippines"
"Fort Worth-Meacham Field, TXFTW)",United States of America,"(37.09024, -95.712891)",United States,"(32.8206921, -97.3598387)","Meacham Int'l Airport, 201 American Concourse, Fort Worth, TX 76106, USA"
Tanahmerah AirportTMH),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.0972499, 140.303033)","Tanah Merah Airport, Unnamed Road,, Persatuan, Mandobo, Boven Digoel Regency, Papua 99663, Indonesia"
"Primorsko-Ahtarsk, Krasnodar territory",Russia,"(61.52401, 105.318756)",Russia,,
"Lanseria International Airport, Gauteng",South Africa,"(-30.559482, 22.937506)",South Africa,"(-25.937751, 27.926416)","Lanseria International Airport, Airport Rd, Lanseria, 1748, South Africa"
Khartoum-Civil AirportKRT),Sudan,"(12.862807, 30.217636)",Sudan,"(15.5927666, 32.5522355)","Khartoum International Airport (KRT), Khartoum, Sudan"
"Kadamdzhayskom, Batken district",Kyrgyzstan,"(41.20438, 74.766098)",Kyrgyzstan,,
Rinchi village in West Siang district,India,"(20.593684, 78.96288)",India,,
"5,5 km3.4 mls) W of Port Hope Simpson Airport, NFYHA)",Canada,"(56.130366, -106.346771)",Canada,,
Sittwe-Civil AirportAKY),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
Simferopol AirportSIP),Ukraine,"(48.379433, 31.16558)",Ukraine,"(45.0191094, 33.9972944)","Simferopol Internationale Lufthavn, Симферополь, пгт., Mal'chenka St, 16, Aeroflots'kyi, Crimea, 95491"
Urumqi AirportURC),China,"(35.86166, 104.195397)",China,"(43.9072222, 87.4741667)","Ürümqi Diwopu International Airport (URC), 1341 Yingbin Rd, Xinshi Qu, Wulumuqi Shi, Xinjiang Weiwuerzizhiqu, China"
Lanseria AirportHLA),South Africa,"(-30.559482, 22.937506)",South Africa,"(-25.937751, 27.926416)","Lanseria International Airport, Airport Rd, Lanseria, 1748, South Africa"
"Puerta del Este, Guarenas area",Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.4763601, -66.6278476)","Guarenas 1220, Miranda, Venezuela"
within ,Peru,"(-9.189967, -75.015152)",Peru,"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA"
within ,Peru,"(-9.189967, -75.015152)",Peru,"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA"
Sharana Air Base,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(33.1211968, 68.8287697)","Sharan, Afghanistan"
Mangalore-Bajpe AirportIXE),India,"(20.593684, 78.96288)",India,"(12.9503769, 74.8724872)","Mangaluru International Airport, Kenjar, Bajpe, Mangaluru, Karnataka 574142, India"
Mangalore-Bajpe AirportIXE),India,"(20.593684, 78.96288)",India,"(12.9503769, 74.8724872)","Mangaluru International Airport, Kenjar, Bajpe, Mangaluru, Karnataka 574142, India"
"0,5 km0.3 mls) from  Cascavel Airport, PRCAC)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Salang Pass,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(35.3123937, 69.0419483)","Kōtal-e Sālang, Afghanistan"
Salang Pass,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(35.3123937, 69.0419483)","Kōtal-e Sālang, Afghanistan"
Biscarrosse/Parentis SPB,France,"(46.227638, 2.213749)",France,,
5 km3.1 mls) NE of Poeketi,Suriname,"(3.919305, -56.027783)",Suriname,"(22.576495, 88.36093699999999)","3, Mil Madaha Ln, Calcutta University, College Square, Kolkata, West Bengal 700073, India"
near Osypnoi Bugor village,Russia,"(61.52401, 105.318756)",Russia,,
"ca 0,9 km W of Tripoli International AirportTIP)",Libya,"(26.3351, 17.228331)",Libya,,
"168 km105 mls) N of Alert, Ellesmere Island, NU",Canada,"(56.130366, -106.346771)",Canada,,
"168 km105 mls) N of Alert, Ellesmere Island, NU",Canada,"(56.130366, -106.346771)",Canada,,
"Kei Mouth, Eastern Cape",South Africa,"(-30.559482, 22.937506)",South Africa,"(-32.6787817, 28.3666482)","Kei Mouth, 5260, South Africa"
8 km5 mls) S of Goryachy Klyuch,Russia,"(61.52401, 105.318756)",Russia,"(44.4222246, 39.3828448)","per. Krasnyy A10 km, 8, Gorodok, Krasnodarskiy kray, Russia, 352672"
Shannon AirportSNN),Ireland,"(53.1423672, -7.692053599999999)",Ireland,"(52.6996573, -8.914691099999999)","Shannon Airport (SNN), Lismacleane, Co. Clare, Ireland"
"Boston-Logan International Airport, MABOS)",United States of America,"(37.09024, -95.712891)",United States,"(42.3656132, -71.0095602)","Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA"
"Boston-Logan International Airport, MABOS)",United States of America,"(37.09024, -95.712891)",United States,"(42.3656132, -71.0095602)","Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA"
Port Harcourt AirportPHC),Nigeria,"(9.081999, 8.675277)",Nigeria,"(5.0074989, 6.950215399999999)","Port Harcourt International Airport (PHC), Kaicon Express Way, Port Harcourt, Nigeria"
Warszawa-Frédéric Chopin AirportWAW),Poland,"(51.919438, 19.145136)",Poland,"(52.1672369, 20.9678911)","Warsaw Chopin Airport, Żwirki i Wigury 1, 01-001 Warszawa, Poland"
"1,7 km1.1 mls) SSE of Recife-Guararapes International Airport, PEREC)",Brazil,"(-14.235004, -51.92528)",Brazil,,
17 km10.6 mls) SW of Strezhevoy,Russia,"(61.52401, 105.318756)",Russia,,
17 km10.6 mls) SW of Strezhevoy,Russia,"(61.52401, 105.318756)",Russia,,
17 km10.6 mls) SW of Strezhevoy,Russia,"(61.52401, 105.318756)",Russia,,
St. Gallen-Altenrhein AirportACH),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(47.4858737, 9.560017799999999)","Flughafen St.Gallen-Altenrhein, Flughafenstrasse 11, 9423 Thal, Switzerland"
St. Gallen-Altenrhein AirportACH),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(47.4858737, 9.560017799999999)","Flughafen St.Gallen-Altenrhein, Flughafenstrasse 11, 9423 Thal, Switzerland"
"1,6 km1 mls) N of Santiago de Compostela AirportSCQ)",Spain,"(40.46366700000001, -3.74922)",Spain,,
"Juiz de Fora-Francisco de Assis Airport, MGJDF)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Cambridge AirportCBG),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.2043719, 0.1776771)","Cambridge International Airport (CBG), Newmarket Rd, Cambridge CB5 8RX, UK"
"Elban, Amur Region",Russia,"(61.52401, 105.318756)",Russia,"(50.090458, 136.509903)","Elban, Khabarovsk Krai, Russia, 682610"
Bolshoe Gryzlovo Airport,Russia,"(61.52401, 105.318756)",Russia,,
La Serena-La Florida AirportLSC),Chile,"(-35.675147, -71.542969)",Chile,,
"Saint George Municipal Airport, UTSGU)",United States of America,"(37.09024, -95.712891)",United States,"(37.03078720000001, -113.5089552)","St George Regional Airport (SGU) (SGU), 4550 S Airport Pkwy, St George, UT 84770, USA"
"Dallas/Fort Worth International Airport, TXDFW)",United States of America,"(37.09024, -95.712891)",United States,"(32.8998091, -97.0403352)","DFW International Airport (DFW), 2400 Aviation Dr N, DFW Airport, TX 75261, USA"
Le Castellet AirportCTT),France,"(46.227638, 2.213749)",France,,
near Nouakchott AirportNKC),Mauritania,"(21.00789, -10.940835)",Mauritania,"(18.300139, -15.9575008)","aéroport inauguré à Nouakchott--Oumtounsy, Mauritania"
"Conrad Maldivian Resort, Rangali, Alifu Dhaalu Atoll",Maldives,"(1.9772276, 73.536101)",Maldives,,
"Houston-George Bush Intercontinental Airport, TXIAH)",United States of America,"(37.09024, -95.712891)",United States,"(29.9902199, -95.3367827)","George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA"
"El Palomar Airport, BA",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"near Edgemont, SD",United States of America,"(37.09024, -95.712891)",United States,"(43.3010841, -103.8254758)","Edgemont, SD 57735, USA"
Tver-Migalovo AirportKLD),Russia,"(61.52401, 105.318756)",Russia,,
Tver-Migalovo AirportKLD),Russia,"(61.52401, 105.318756)",Russia,,
"near La Leona,Tocaima, Cundinamarca department",Colombia,"(4.570868, -74.297333)",Colombia,"(4.41801, -74.57839)","La Leona, Tocaima, Cundinamarca, Colombia"
"near La Leona,Tocaima, Cundinamarca department",Colombia,"(4.570868, -74.297333)",Colombia,"(4.41801, -74.57839)","La Leona, Tocaima, Cundinamarca, Colombia"
Enarotali AirportEWI),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.9264752, 136.380416)","Bandar Udara Enarotali, Awabutu, East Paniai, Paniai Regency, Papua 98726, Indonesia"
Trinidad AirportTDD),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
"0,4 km0.3 mls) from  Sarmi AirportZRM)",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
near Wobegon,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(26.4935436, -81.712765)","Wobegon Dr, Fort Myers, FL 33913, USA"
"6,5 km4.1 mls) from  Pueblo Memorial Airport, COPUB)",United States of America,"(37.09024, -95.712891)",United States,,
"6,5 km4.1 mls) from  Pueblo Memorial Airport, COPUB)",United States of America,"(37.09024, -95.712891)",United States,,
-Reina Beatrix AirportAUA),Aruba,"(12.52111, -69.968338)",Aruba,"(12.5015939, -70.0119926)","Queen Beatrix International Airport (AUA), Oranjestad, Aruba"
Tambacounda AirportTUD),Senegal,"(14.497401, -14.452362)",Senegal,,
32 km20 mls) ESE of Kabul,Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
"Teterboro Airport, NJTEB)",United States of America,"(37.09024, -95.712891)",United States,"(40.8550014, -74.0646486)","Teterboro Airport, 233 Industrial Ave, Teterboro, NJ 07608, USA"
"Teterboro Airport, NJTEB)",United States of America,"(37.09024, -95.712891)",United States,"(40.8550014, -74.0646486)","Teterboro Airport, 233 Industrial Ave, Teterboro, NJ 07608, USA"
near Al Taji,Iraq,"(33.223191, 43.679291)",Iraq,"(33.5372272, 44.26213990000001)","Taji, Iraq"
Bergen-Flesland AirportBGO),Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(60.29183, 5.2220173)","Bergen Airport (BGO), Flyplassvegen 555, 5258 Bergen, Norway"
Helsinki-Vantaa AirportHEL),Finland,"(61.92410999999999, 25.748151)",Finland,"(60.32104159999999, 24.9528604)","Helsinki Airport (HEL), 01531 Vantaa, Finland"
2 km1.3 mls) from  Iasi AirportIAS),Romania,"(45.943161, 24.96676)",Romania,,
"Kansas City-Charles B. Wheeler Downtown Airport, MOMKC)",United States of America,"(37.09024, -95.712891)",United States,"(39.1232872, -94.5923644)","Charles B. Wheeler Downtown Airport (MKC), 500 Northwest Richards Road, Kansas City, MO 64116, USA"
Rothera Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(-67.5638362, -68.1238)","BIQQ 1ZZ, Antarctica"
Düsseldorf AirportDUS),Germany,"(51.165691, 10.451526)",Germany,"(51.2876146, 6.7667912)","Düsseldorf International Airport (DUS), Flughafenstraße 120, 40474 Düsseldorf, Germany"
Oviedo/Aviles-Asturias AirportOVD),Spain,"(40.46366700000001, -3.74922)",Spain,"(43.5621208, -6.032658)","Aeropurto of Asturias, 33457 Castriḷḷón, Asturias, Spain"
near Colquiri,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-17.3855032, -67.126888)","Colquiri, Bolivia"
KongoloCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-5.387502, 26.9911288)","Kongolo, Democratic Republic of the Congo"
London-Gatwick AirportLGW),Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(51.1536621, -0.1820629)","Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK"
near Tura,Russia,"(61.52401, 105.318756)",Russia,"(25.5140712, 90.2032141)","Tura, Meghalaya, India"
"Keene-Dillant-Hopkins Airport, NHEEN)",United States of America,"(37.09024, -95.712891)",United States,,
"Logan-Cache Airport, UTLGU)",United States of America,"(37.09024, -95.712891)",United States,,
Cali-Alfonso B. Aragon AirportCLO),Colombia,"(4.570868, -74.297333)",Colombia,"(3.5439613, -76.3840645)","Aeropuerto Internacional Alfonso Bonilla Aragón de Palmira, Vía al Aeropuerto Nte., Palmira, Valle del Cauca, Colombia"
Bukalaza,Uganda,"(1.373333, 32.290275)",Uganda,,
Goa-Dabolim AirportGOI),India,"(20.593684, 78.96288)",India,"(15.3803485, 73.8349952)","Goa International Airport (GOI), Airport Rd, Dabolim, Goa 403801, India"
Andahuaylas AirportANS),Peru,"(-9.189967, -75.015152)",Peru,"(-13.7133071, -73.3524944)","Andahuaylas Airport (ANS), Peru"
Banda Aceh-Blang Bintang AirportBTJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(5.5246738, 95.4199032)","Sultan Iskandar Muda International Airport, Jl. Bandara Sultan Iskandar Muda, Cot Madhi, Blang Bintang, Cot Mancang, Kuta Baro, Kabupaten Aceh Besar, Aceh 23373, Indonesia"
"13 km8.1 mls) SW of Butte, MT",United States of America,"(37.09024, -95.712891)",United States,,
Sevilla AirportSVQ),Spain,"(40.46366700000001, -3.74922)",Spain,"(37.4201674, -5.89305)","Seville Airport (SVQ), A-4, Km. 532, 41020 Sevilla, Spain"
Old Fangak,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(9.061359999999999, 30.877199)","Fangak, South Sudan"
Bangalore-Hindustan AirportBLR),India,"(20.593684, 78.96288)",India,"(13.1986348, 77.7065928)","Kempegowda International Airport (BLR), KIAL Rd, Devanahalli, Bengaluru, Karnataka 560300, India"
"Dallas-Love Field, TXDAL)",United States of America,"(37.09024, -95.712891)",United States,"(32.8481029, -96.8512063)","Dallas Love Field Airport (DAL), 8008 Herb Kelleher Way, Dallas, TX 75235, USA"
10 km6.3 mls) from  La Paz-El Alto AirportLPB),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-16.5108547, -68.1858061)","El Alto International Airport (LPB), Heroes Km. 7, El Alto, Bolivia"
Arekuna,Venezuela,"(6.42375, -66.58973)",Venezuela,"(6.4846106, -62.8987777)","Parque Nacional Canaima, Bolívar, Venezuela"
Surabaya-Juanda AirportSUB),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-7.3788851, 112.7872891)","Juanda International Airport (SUB), Jl. Ir. H. Juanda, Betro, Sedati, Kabupaten Sidoarjo, Jawa Timur 61253, Indonesia"
LubanimangaCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA",,
near Buschin,Iraq,"(33.223191, 43.679291)",Iraq,"(49.9761268, 16.8378785)","789 62 Bušín, Czechia"
near Buschin,Iraq,"(33.223191, 43.679291)",Iraq,"(49.9761268, 16.8378785)","789 62 Bušín, Czechia"
Kiel-Holtenau AirportKEL),Germany,"(51.165691, 10.451526)",Germany,"(54.379444, 10.1463889)","Holtenau Airport (KEL), Boelckestraße 100, 24159 Kiel, Germany"
Oslo-Gardermoen AirportOSL),Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(60.1975501, 11.1004153)","Oslo Airport (OSL), Edvard Munchs veg, 2061 Gardermoen, Norway"
near El Peten,Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(16.912033, -90.2995785)","Petén Department, Guatemala"
Aweil Airport,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(8.7702055, 27.3978175)","Aweil Airport, Aweil, South Sudan"
"near Paris, TN",United States of America,"(37.09024, -95.712891)",United States,"(36.3020023, -88.32671069999999)","Paris, TN 38242, USA"
"Philadelphia International Airport, PAPHL)",United States of America,"(37.09024, -95.712891)",United States,"(39.8743959, -75.2424229)","Philadelphia International Airport (PHL), 8000 Essington Ave, Philadelphia, PA 19153, USA"
"near Watertown, WI",United States of America,"(37.09024, -95.712891)",United States,"(43.1947211, -88.7289918)","Watertown, WI, USA"
"near Watertown, WI",United States of America,"(37.09024, -95.712891)",United States,"(43.1947211, -88.7289918)","Watertown, WI, USA"
"Myrtle Beach-Grand Strand Airport, SCCRE)",United States of America,"(37.09024, -95.712891)",United States,,
"Burnsville-Mountain Air Airport, NC",United States of America,"(37.09024, -95.712891)",United States,"(35.8686203, -82.34204609999999)","Mountain Air, Pisgah National Forest, Burnsville, NC 28714, USA"
Cap en AirportCAP),Haiti,"(18.971187, -72.285215)",Haiti,,
"Caloundra Airport, QLDCUD)",Australia,"(-25.274398, 133.775136)",Australia,"(-26.7983499, 153.1099261)","Caloundra Aerodrome, 14 Pathfinder Dr, Caloundra West QLD 4551, Australia"
Mbuji-Mayi AirportMJM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-6.124927599999999, 23.5714021)","Mbuji-Mayi Airport (MJM), Mbuji-Mayi, Democratic Republic of the Congo"
"Carlsbad-McClellan-Palomar Airport, CACLD)",United States of America,"(37.09024, -95.712891)",United States,"(33.1278996, -117.2791873)","McClellan-Palomar Airport, 2198 Palomar Airport Rd, Carlsbad, CA 92011, USA"
near Hejce,Hungary,"(47.162494, 19.503304)",Hungary,"(48.4234865, 21.2816978)","Hejce, 3892 Hungary"
near Hejce,Hungary,"(47.162494, 19.503304)",Hungary,"(48.4234865, 21.2816978)","Hejce, 3892 Hungary"
"0,5 km0.3 mls) N of Freiburg Im Breisgau Airport",Germany,"(51.165691, 10.451526)",Germany,,
"0,5 km0.3 mls) N of Freiburg Im Breisgau Airport",Germany,"(51.165691, 10.451526)",Germany,,
"16 km10 mls) S of Villanow, GA",United States of America,"(37.09024, -95.712891)",United States,,
Puerto Jiménez AirportPJM),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,"(8.5361081, -83.30126469999999)","Puerto Jimenez Airport (PJM), Provincia de Puntarenas, Puerto Jiménez, Costa Rica"
12 km7.5 mls) W of Orumiyeh,Iran,"(32.427908, 53.688046)",Iran,,
"Sault Ste Marie Municipal-Sanderson Airport, MISSM)",United States of America,"(37.09024, -95.712891)",United States,,
"Norman Wells Airport, NTYVQ)",Canada,"(56.130366, -106.346771)",Canada,,
FatakiCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(1.989165, 30.5653251)","Fataki, Democratic Republic of the Congo"
Lanzhou AirportLHW),China,"(35.86166, 104.195397)",China,"(36.515, 103.62)","Lanzhou Zhongchuan Airport (LHW), Yongdeng Xian, Lanzhou Shi, Gansu Sheng, China, 730087"
Wamena AirportWMX),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-4.1001213, 138.9516853)","Bandara Wamena, Jl. Gatot Subroto, Wamena Kota, Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia"
"6,5 km4.1 mls) SW of Oklahoma City-Wiley Post Airport, OKPWA)",United States of America,"(37.09024, -95.712891)",United States,,
near Consuega,Spain,"(40.46366700000001, -3.74922)",Spain,"(39.4642436, -3.609117)","45700 Consuegra, Toledo, Spain"
Manila-Ninoy Aquino International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines"
"Kayenta-Peabody Bedard Field Airport, AZ",United States of America,"(37.09024, -95.712891)",United States,"(36.471665, -110.4179147)","Peabody Bedard Field, Kayenta, AZ 86033, USA"
