SubLocation,Country,latlon,place,sub_latlon,sub_place
Sharjah AirportSHJ),United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(25.3284352, 55.5122577)",Sharjah International Airport - Sharjah - United Arab Emirates
Kiev-Borispol AirportKBP),Ukraine,"(48.379433, 31.16558)",Ukraine,"(50.33822199999999, 30.8939274)","Kyiv Boryspil International Airport (KBP), Boryspil', Kyivs'ka oblast, Ukraine"
Kiev-Borispol AirportKBP),Ukraine,"(48.379433, 31.16558)",Ukraine,"(50.33822199999999, 30.8939274)","Kyiv Boryspil International Airport (KBP), Boryspil', Kyivs'ka oblast, Ukraine"
near Quelimane Airport,Mozambique,"(-18.665695, 35.529562)",Mozambique,"(-17.855427, 36.868588)","Quelimane Airport, Quelimane, Mozambique"
Malange AirportMEG),Angola,"(-11.202692, 17.873887)",Angola,,
"Sebastian Municipal Airport, FL",United States of America,"(37.09024, -95.712891)",United States,"(27.814312, -80.49465889999999)","Sebastian Municipal ARPRT-X26, 202 Airport Dr E, Sebastian, FL 32958, USA"
"4,5 km2.8 mls) W of Miami Executive Airport, FLTMB)",United States of America,"(37.09024, -95.712891)",United States,,
Rostov AirportROV),Russia,"(61.52401, 105.318756)",Russia,"(47.25555139999999, 39.8041555)","Rostov-on-Don Airport, просп. Шолохова, 270/1, Rostov, Rostovskaya oblast', Russia, 344009"
Larnaca AirportLCA),Cyprus,"(35.126413, 33.429859)",Cyprus,"(34.8723402, 33.6203516)","Larnaca International Airport (LCA), Larnaka, Cyprus"
Astana International AirportTSE),Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(51.02704019999999, 71.4608109)","Astana International Airport, 塔 纳 国际 机场 阿 斯, Astana, Kazakhstan"
"Río Grande Airport, TFRGA)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"Río Grande Airport, TFRGA)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
Rostov AirportROV),Russia,"(61.52401, 105.318756)",Russia,"(47.25555139999999, 39.8041555)","Rostov-on-Don Airport, просп. Шолохова, 270/1, Rostov, Rostovskaya oblast', Russia, 344009"
Hawijah,Iraq,"(33.223191, 43.679291)",Iraq,"(35.3248248, 43.7669217)","Hawija, Iraq"
"Hacienda la Palmira, Pastaza",Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
"Rome-Richard B Russell Airport, GARMG)",United States of America,"(37.09024, -95.712891)",United States,,
Saint-Barthélémy AirportSBH),Guadeloupe,"(16.265, -61.55099999999999)",Guadeloupe,,
3 km1.9 mls) W off  Cox's Bazar AirportCXB),Bangladesh,"(23.684994, 90.356331)",Bangladesh,,
near Kawrgosk,Iraq,"(33.223191, 43.679291)",Iraq,"(36.3494209, 43.8079834)",Iraq
Mumbai-Chhatrapati Shivaji International AirportBOM),India,"(20.593684, 78.96288)",India,"(19.0895595, 72.8656144)","Chhatrapati Shivaji International Airport (BOM), Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India"
near Langebaanweg Air Force Base,South Africa,"(-30.559482, 22.937506)",South Africa,"(-32.97328, 18.15157)","AFB Langebaanweg, Langebaan, 7357, Western Cape, South Africa, South Africa"
"near Bangor, ME",United States of America,"(37.09024, -95.712891)",United States,"(44.80118210000001, -68.77781379999999)","Bangor, ME 04401, USA"
off Kuala Selangor,Malaysia,"(4.210484, 101.975766)",Malaysia,"(3.339874, 101.246413)","No. 36, Jalan Raja Jalil Off Jalan Klinik, 45000, Kuala Selangor, Selangor, 45000, Malaysia"
"Orlando International Airport, FLMCO)",United States of America,"(37.09024, -95.712891)",United States,"(28.4311577, -81.308083)","Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA"
"near Iliamna, AK",United States of America,"(37.09024, -95.712891)",United States,"(59.7547222, -154.9061111)","Iliamna, AK 99606, USA"
"Dana, Myagdi district",Nepal,"(28.394857, 84.12400799999999)",Nepal,"(28.5353754, 83.624201)","Dana 33200, Nepal"
"0,6 km0.4 mls) N of Naypyidaw International AirportNYT)",Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
Chambéry AirportCMF),France,"(46.227638, 2.213749)",France,,
"5,3 km3.3 mls) E of Taipei-Sung Shan AirportTSA)",Taiwan,"(23.69781, 120.960515)",Taiwan,,
"5,3 km3.3 mls) E of Taipei-Sung Shan AirportTSA)",Taiwan,"(23.69781, 120.960515)",Taiwan,,
off Boca Druif,Aruba,"(12.52111, -69.968338)",Aruba,,
off Boca Druif,Aruba,"(12.52111, -69.968338)",Aruba,,
off Boca Druif,Aruba,"(12.52111, -69.968338)",Aruba,,
near Baghdad International AirportBGW),Iraq,"(33.223191, 43.679291)",Iraq,"(33.267015, 44.2311592)","Baghdad International Airport, Airport St, Baghdad, Iraq"
"Dawlatabad District, Balkh Province",Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(36.9838961, 66.7962869)","Dawlat Abad, Afghanistan"
near Abu adh Dhuhur Air Base,Syria,"(34.80207499999999, 38.996815)",Syria,"(30.0861111, 31.250362)","Atfet Al AB, Al Barad, As Sahel, Cairo Governorate, Egypt"
Tacloban AirportTAC),Philippines,"(12.879721, 121.774017)",Philippines,"(11.2267334, 125.0261242)","DANIEL Z. ROMUALDEZ AIRPORT (TAC), Airport Road,Tacloban City 6500,Leyte, Philippines"
Tacloban AirportTAC),Philippines,"(12.879721, 121.774017)",Philippines,"(11.2267334, 125.0261242)","DANIEL Z. ROMUALDEZ AIRPORT (TAC), Airport Road,Tacloban City 6500,Leyte, Philippines"
Tacloban AirportTAC),Philippines,"(12.879721, 121.774017)",Philippines,"(11.2267334, 125.0261242)","DANIEL Z. ROMUALDEZ AIRPORT (TAC), Airport Road,Tacloban City 6500,Leyte, Philippines"
Tacloban AirportTAC),Philippines,"(12.879721, 121.774017)",Philippines,"(11.2267334, 125.0261242)","DANIEL Z. ROMUALDEZ AIRPORT (TAC), Airport Road,Tacloban City 6500,Leyte, Philippines"
Enarotali AirportEWI),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.9264752, 136.380416)","Bandar Udara Enarotali, Awabutu, East Paniai, Paniai Regency, Papua 98726, Indonesia"
Enarotali AirportEWI),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.9264752, 136.380416)","Bandar Udara Enarotali, Awabutu, East Paniai, Paniai Regency, Papua 98726, Indonesia"
Accra-Kotoka AirportACC),Ghana,"(7.946527, -1.023194)",Ghana,"(5.606095499999999, -0.1681235)","Kotoka International Airport, Airport Rd, Accra, Ghana"
Magadan-Sokol AirportGDX),Russia,"(61.52401, 105.318756)",Russia,"(59.9144075, 150.7311153)","Aeroport g. Magadana, г. Магадан, пгт. Сокол, Магаданская обл., Россия 685901, Russia"
Nairobi-Jomo tta International AirportNBO),Kenya,"(-0.023559, 37.906193)",Kenya,"(-1.3227102, 36.9260693)","Jomo Kenyatta International Airport (NBO), Embakasi, Nairobi, Kenya"
"Montreal-St. Hubert Airport, QCYHU)",Canada,"(56.130366, -106.346771)",Canada,"(45.5199412, -73.4134608)","Aeroport Montréal Saint-Hubert Longueuil, 5700 Route de l'Aéroport, Saint-Hubert, QC J3Y 8Y9, Canada"
near Mogadishu International AirportMGQ),Somalia,"(5.152149, 46.199616)",Somalia,"(2.0178354, 45.3037924)","Aden Adde International Airport (MGQ), Mogadishu, Somalia"
near Mogadishu International AirportMGQ),Somalia,"(5.152149, 46.199616)",Somalia,"(2.0178354, 45.3037924)","Aden Adde International Airport (MGQ), Mogadishu, Somalia"
Querétaro AirportQRO),Mexico,"(23.634501, -102.552784)",Mexico,"(20.6224558, -100.1872721)","Querétaro Intercontinental Airport, Qro, Estatal 200, Grande, 76270 Querétaro, Qro., Mexico"
Mashhad AirportMHD),Iran,"(32.427908, 53.688046)",Iran,"(36.2300516, 59.64436989999999)","Razavi Khorasan Province, Mashhad, Hasheminejad Blvd, Mashhad International Airport (MHD), Iran"
"Chance Bay, Whitsunday Island, QLD",Australia,"(-25.274398, 133.775136)",Australia,"(-20.1882758, 148.7268546)","Whitsunday Islands, Queensland, Australia"
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA"
Corral Viejo,Colombia,"(4.570868, -74.297333)",Colombia,"(35.3098672, -106.4745064)","Corral Viejo, Placitas, NM 87043, USA"
"S of Cedar Fort, UT",United States of America,"(37.09024, -95.712891)",United States,"(40.3271707, -112.1043852)","Cedar Fort, UT 84013, USA"
"Hooper Bay Airport, AKHPB)",United States of America,"(37.09024, -95.712891)",United States,,
near Windhoek-Hosea Kutako International AirportWDH),Namibia,"(-22.95764, 18.49041)",Namibia,"(-22.485918, 17.466584)","Windhoek Hosea Kutako International Airport (WDH), Windhoek, Namibia"
San Juan-Luis Muñoz Marín International AirportSJU),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(18.4373547, -66.0044727)","Aeropuerto Internacional Luis Muñoz Marín (SJU), Av. Aeropuerto, Carolina, 00979, Puerto Rico"
"Rondonópolis-Maestro Marinho Franco Airport, MTROO)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-16.5878306, -54.72261959999999)","Aeroporto de Rondonópolis - Av. Aeroporto, s/n - Vila São José, Rondonópolis - MT, 78720-070, Brazil"
near Oajevágge,Sweden,"(60.12816100000001, 18.643501)",Sweden,,
Tres Esquinas Air BaseTQS),Colombia,"(4.570868, -74.297333)",Colombia,"(0.7446495000000001, -75.2349639)","Tres Esquinas Airport (TQS), Solano, Caquetá, Colombia"
"St. Petersburg-Clearwater International Airport, FLPIE)",United States of America,"(37.09024, -95.712891)",United States,"(27.9100221, -82.6893801)","St. Pete–Clearwater International Airport (PIE), 14700 Terminal Blvd #221, Clearwater, FL 33762, USA"
"Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
Stornoway AirportSYY),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(58.2163706, -6.3286557)","Stornoway Airport (SYY), Stornoway HS2 0BN, UK"
"10 km6.3 mls) SW of Anaktuvuk Pass Airport, AKAKP)",United States of America,"(37.09024, -95.712891)",United States,,
20 km12.5 mls) N of Luanda AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,,
20 km12.5 mls) N of Luanda AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,,
Naga AirportWNP),Philippines,"(12.879721, 121.774017)",Philippines,"(13.585117, 123.270679)","Naga City Airport (WNP), Naga Airport Rd, Pili, Camarines Sur, Philippines"
"Bliss Canyon, ID",United States of America,"(37.09024, -95.712891)",United States,"(42.866843, -114.854507)","Thousand Springs State Park, 1074 E 2350 S, Hagerman, ID 83332, USA"
 AirportJIB),Djibouti,"(11.825138, 42.590275)",Djibouti,"(35.4750841, -93.4348404)","Job Airport Rd, Clarksville, AR 72830, USA"
 AirportJIB),Djibouti,"(11.825138, 42.590275)",Djibouti,"(35.4750841, -93.4348404)","Job Airport Rd, Clarksville, AR 72830, USA"
"near Tlahualilo de Zaragoza, Durango",Mexico,"(23.634501, -102.552784)",Mexico,"(26.1050969, -103.4417126)","Tlahualilo de Zaragoza, Durango, Mexico"
Mallcu,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-21.7564193, -67.4799606)","Villamar Mallcu, Bolivia"
"Portsmouth-Pease AFB, NHPSM)",United States of America,"(37.09024, -95.712891)",United States,"(43.08213809999999, -70.8174969)","Portsmouth International Airport-PSM, 36 Airline Ave, Portsmouth, NH 03801, USA"
Banjarmasin-Sjamsudin Noor AirportBDJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.4380056, 114.7541801)","SAMSUDIN NOOR AIRPORT, Jalan Angkasa, Landasan Ulin Utara, Landasan Ulin, Liang Anggang, Landasan Ulin Utara, Liang Anggang, Banjarmasin, kelurahan 70724, Indonesia"
Glasgow International AirportGLA),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.8690744, -4.4350529)","Glasgow Airport (GLA), Paisley PA3 2SW, UK"
200 m off Bata AirportBSG),Equatorial Guinea,"(1.650801, 10.267895)",Equatorial Guinea,"(22.603034, 88.373295)","Bagbazar Street, 124A, Barrackpore Trunk Rd, Shyambazar, Bidhan Sarani, Baghbazar, Kolkata, West Bengal 700003, India"
"Caribou Horn Lake, NT",Canada,"(56.130366, -106.346771)",Canada,,
"Caribou Horn Lake, NT",Canada,"(56.130366, -106.346771)",Canada,,
"Sault Ste. Marie Airport, ONYAM)",Canada,"(56.130366, -106.346771)",Canada,,
Nevado Illimani,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-16.6333333, -67.7908333)","Illimani, Bolivia"
near Al Qatrana,Jordan,"(30.585164, 36.238414)",Jordan,"(31.2485909, 36.0490805)","Al-Qatrana, Jordan"
13 km8.1 mls) NW off  Trujillo-Capiro AirportTJI),Honduras,"(15.199999, -86.241905)",Honduras,,
"N of Pensacola Regional Airport, FLPNS)",United States of America,"(37.09024, -95.712891)",United States,"(30.4738158, -87.1867049)","Pensacola International Airport (PNS), 2430 Airport Blvd, Pensacola, FL 32504, USA"
at an unknown location,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Berlin-Tempelhof AirportTHF),Germany,"(51.165691, 10.451526)",Germany,"(52.4828577, 13.3993483)","Berlin Tempelhof Airport (THF), 12101 Berlin, Germany"
near Quito,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.1806532, -78.4678382)","Quito, Ecuador"
Mérida-Rejon AirportMID),Mexico,"(23.634501, -102.552784)",Mexico,"(20.9339004, -89.6623719)","Aeropuerto Internacional de Mérida ""Manuel Crescencio Rejón"" ""MID"", Carretera Mérida a Uman Km 4,5, 97291 Mérida, Yuc., Mexico"
"Millhaven, GA",United States of America,"(37.09024, -95.712891)",United States,"(32.9337697, -81.64955499999999)","Millhaven, GA 30467, USA"
"Toronto International Airport, ONYYZ)",Canada,"(56.130366, -106.346771)",Canada,"(43.67771760000001, -79.6248197)","Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada"
"Toronto International Airport, ONYYZ)",Canada,"(56.130366, -106.346771)",Canada,"(43.67771760000001, -79.6248197)","Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada"
5 km3.1 mls) from  Bamako,Mali,"(17.570692, -3.996166)",Mali,,
"near Gali, Abkhazia",Georgia,"(32.1656221, -82.9000751)","Georgia, USA","(42.6259555, 41.73491689999999)",Gali
"Kauai, HI",United States of America,"(37.09024, -95.712891)",United States,"(22.0964396, -159.5261238)","Kauai, Hawaii, USA"
near Kharkov,Ukraine,"(48.379433, 31.16558)",Ukraine,"(49.9935, 36.230383)","Kharkiv, Kharkiv Oblast, Ukraine"
Havana-José Martí International AirportHAV),Cuba,"(21.521757, -77.781167)",Cuba,"(22.991533, -82.4100642)","José Martí International Airport (HAV), Avenida Rancho Boyeros, La Habana, Cuba"
"Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
"Sierra de Pacatuba, CE",Brazil,"(-14.235004, -51.92528)",Brazil,"(-3.932370499999999, -38.6097148)","Ponta da Serra de Pitiguari, Pacatuba - CE, Brazil"
near Puerto Maldonado,Peru,"(-9.189967, -75.015152)",Peru,"(-12.5909084, -69.1963141)","Puerto Maldonado, Peru"
near Pebble IslandIsla Borbón),Falkland Islands,"(-51.796253, -59.523613)","FIQQ 1ZZ, Falkland Islands (Islas Malvinas)","(-51.2797918, -59.63865849999999)","Pebble Island, FIQQ 1ZZ, Falkland Islands (Islas Malvinas)"
"St. Petersburg International Airport, FLPIE)",United States of America,"(37.09024, -95.712891)",United States,"(27.9100221, -82.6893801)","St. Pete–Clearwater International Airport (PIE), 14700 Terminal Blvd #221, Clearwater, FL 33762, USA"
Rondon AirportRON),Colombia,"(4.570868, -74.297333)",Colombia,"(51.5048437, 0.049518)","London City Airport (LCY), Hartmann Rd, London E16 2QQ, UK"
Rondon AirportRON),Colombia,"(4.570868, -74.297333)",Colombia,"(51.5048437, 0.049518)","London City Airport (LCY), Hartmann Rd, London E16 2QQ, UK"
"Montreal-Dorval International Airport, QCYUL)",Canada,"(56.130366, -106.346771)",Canada,"(45.46973819999999, -73.7449195)","Montréal-Pierre Elliott Trudeau International Airport (YUL), Québec, Canada"
Seoul-Seongnam Air BaseSSN),South Korea,"(35.907757, 127.766922)",South Korea,,
N off Pebble Island,Falkland Islands,"(-51.796253, -59.523613)","FIQQ 1ZZ, Falkland Islands (Islas Malvinas)","(-51.2797918, -59.63865849999999)","Pebble Island, FIQQ 1ZZ, Falkland Islands (Islas Malvinas)"
Dnepropetrovsk AirportDNK),Ukraine,"(48.379433, 31.16558)",Ukraine,"(48.36762479999999, 35.0938059)","Dnipropetrovsk International Airport, Dnipropetrovsk Oblast, Ukraine"
5 km3.1 mls) from  Barranquilla AirportBAQ),Colombia,"(4.570868, -74.297333)",Colombia,,
BiarritzBIQ),France,"(46.227638, 2.213749)",France,"(43.4691931, -1.5302868)","Biarritz - Anglet - Bayonne Airport, 7 Espl. de l'Europe, 64600 Anglet, France"
Tunis-Carthage AirportTUN),Tunisia,"(33.886917, 9.537499)",Tunisia,"(36.8458578, 10.2190745)","Tunis-Carthage International Airport (TUN), Tunis, Tunisia"
"Brasilia International Airport, DFBSB)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-15.8697369, -47.9172348)","International Airport of Brasilia (BSB) - Lago Sul, Brasília - DF, 71608-900, Brazil"
"Uberaba, MG",Brazil,"(-14.235004, -51.92528)",Brazil,,
"1,6 km1 mls) from  Florianopolis, SC",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Sarasota-Bradenton Airport, FLSRQ)",United States of America,"(37.09024, -95.712891)",United States,,
near Kassel-Calden AirportKSF),Germany,"(51.165691, 10.451526)",Germany,,
near Kassel-Calden AirportKSF),Germany,"(51.165691, 10.451526)",Germany,,
Villavicencio AirportVVC),Colombia,"(4.570868, -74.297333)",Colombia,"(4.168983, -73.6121682)","La Vanguardia Airport, Villavicencio, Meta, Colombia"
"Hooper Bay, AK",United States of America,"(37.09024, -95.712891)",United States,"(61.5311111, -166.0966666)","Hooper Bay, AK, USA"
,North Pole,"(64.7511111, -147.3494444)","North Pole, AK 99705, USA","(18.7756318, 100.7730417)","Nan, Thailand"
"Madera, CA",United States of America,"(37.09024, -95.712891)",United States,"(36.9613356, -120.0607176)","Madera, CA, USA"
near Petrovsk Air Base,Russia,"(61.52401, 105.318756)",Russia,,
"Judsonia, AR",United States of America,"(37.09024, -95.712891)",United States,"(35.270085, -91.63985749999999)","Judsonia, AR, USA"
Hármashatárhegy,Hungary,"(47.162494, 19.503304)",Hungary,"(47.5558333, 18.9983333)","Budapest, Hármashatárhegy, 1037 Hungary"
Puerto Limón AirportLIO),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,,
Sputendorf,Germany,"(51.165691, 10.451526)",Germany,"(52.3402911, 13.2334795)","Sputendorf, 14532 Stahnsdorf, Germany"
2 km1.3 mls) E off  Aden International AirportADE),Yemen,"(15.552727, 48.516388)",Yemen,,
ca 21 km N of Tashtagol,Russia,"(61.52401, 105.318756)",Russia,,
"Calgary International Airport, ABYYC)",Canada,"(56.130366, -106.346771)",Canada,"(51.1250608, -114.0168895)","Calgary International Airport (YYC), 2000 Airport Rd NE, Calgary, AB T2E 6Z8, Canada"
"19 km11.9 mls) off  Savannah, GAAtlantic Ocean)",United States of America,"(37.09024, -95.712891)",United States,,
"19 km11.9 mls) off  Savannah, GAAtlantic Ocean)",United States of America,"(37.09024, -95.712891)",United States,,
Port Stanley AirportPSY),Falkland Islands,"(-51.796253, -59.523613)","FIQQ 1ZZ, Falkland Islands (Islas Malvinas)","(-51.6867139, -57.7784625)","Port Stanley Airport (PSY), Airport Road, Stanley FIQQ 1ZZ, Falkland Islands (Islas Malvinas)"
Port Stanley AirportPSY),Falkland Islands,"(-51.796253, -59.523613)","FIQQ 1ZZ, Falkland Islands (Islas Malvinas)","(-51.6867139, -57.7784625)","Port Stanley Airport (PSY), Airport Road, Stanley FIQQ 1ZZ, Falkland Islands (Islas Malvinas)"
Qotur,Iran,"(32.427908, 53.688046)",Iran,"(38.4730711, 44.40776959999999)","Qotur, West Azerbaijan Province, Iran"
Port Stanley AirportPSY),Falkland Islands,"(-51.796253, -59.523613)","FIQQ 1ZZ, Falkland Islands (Islas Malvinas)","(-51.6867139, -57.7784625)","Port Stanley Airport (PSY), Airport Road, Stanley FIQQ 1ZZ, Falkland Islands (Islas Malvinas)"
"Glendive-Dawson Community Airport, MTGDV)",United States of America,"(37.09024, -95.712891)",United States,,
"near Cold Bay Airport, AKCDB)",United States of America,"(37.09024, -95.712891)",United States,,
"Siddipet, Bussapur Medak",India,"(20.593684, 78.96288)",India,"(18.0787809, 78.7493216)","Bussapur Rd, Bussapuram, Telangana 502114, India"
off Kinmen-Shang-Yi AirportKNH),Taiwan,"(23.69781, 120.960515)",Taiwan,,
Trinidad AirportTDD),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(10.5976964, -61.339527)","Piarco International Airport (POS), Golden Grove Rd, Piarco, Trinidad and Tobago"
"Cincinnati/Northern Kentucky Airport, KYCVG)",United States of America,"(37.09024, -95.712891)",United States,"(39.0532746, -84.6630165)","Cincinnati/Northern Kentucky International Airport (CVG), 3087 Terminal Dr, Hebron, KY 41048, USA"
"Cincinnati/Northern Kentucky Airport, KYCVG)",United States of America,"(37.09024, -95.712891)",United States,"(39.0532746, -84.6630165)","Cincinnati/Northern Kentucky International Airport (CVG), 3087 Terminal Dr, Hebron, KY 41048, USA"
Bandar Lampung-Branti AirportTKG),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-5.2425881, 105.1761522)","Bandar Udara Radin Inten II, Jalan Alamsyah Ratu Prawira Negara KM. 28, Branti Raya, Natar, Brantiraya, Natar, Kabupaten Lampung Selatan, Lampung 35362, Indonesia"
Beirut International AirportBEY),Lebanon,"(33.854721, 35.862285)",Lebanon,"(33.8193756, 35.4912043)","Beirut-Rafic Hariri International Airport, Beirut, Lebanon"
"Beaumont Municipal Airport, TXBMT)",United States of America,"(37.09024, -95.712891)",United States,"(30.070341, -94.2118558)","Beaumont Municipal Airport, 455 Keith Rd, Beaumont, TX 77713, USA"
Havana-José Martí International AirportHAV),Cuba,"(21.521757, -77.781167)",Cuba,"(22.991533, -82.4100642)","José Martí International Airport (HAV), Avenida Rancho Boyeros, La Habana, Cuba"
Schleswig AirportWBG),Germany,"(51.165691, 10.451526)",Germany,,
560 km350 mls) NW off  Scotland,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"Calgary International Airport, ABYYC)",Canada,"(56.130366, -106.346771)",Canada,"(51.1250608, -114.0168895)","Calgary International Airport (YYC), 2000 Airport Rd NE, Calgary, AB T2E 6Z8, Canada"
 City-Juarez International AirportMEX),Mexico,"(23.634501, -102.552784)",Mexico,"(19.4360762, -99.07190829999999)","Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico"
 City-Juarez International AirportMEX),Mexico,"(23.634501, -102.552784)",Mexico,"(19.4360762, -99.07190829999999)","Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico"
 City-Juarez International AirportMEX),Mexico,"(23.634501, -102.552784)",Mexico,"(19.4360762, -99.07190829999999)","Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico"
"River Kagoak, AK",United States of America,"(37.09024, -95.712891)",United States,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
near Nakhon Sawan/Takhli Air BaseTKH),Thailand,"(15.870032, 100.992541)",Thailand,,
Chunchon Air Base,South Korea,"(35.907757, 127.766922)",South Korea,,
Cali-Palmaseca AirportCLO),Colombia,"(4.570868, -74.297333)",Colombia,"(3.5439613, -76.3840645)","Aeropuerto Internacional Alfonso Bonilla Aragón de Palmira, Vía al Aeropuerto Nte., Palmira, Valle del Cauca, Colombia"
"Jacksonville NAS, FLNIP)",United States of America,"(37.09024, -95.712891)",United States,,
"Jacksonville NAS, FLNIP)",United States of America,"(37.09024, -95.712891)",United States,,
"Jacksonville NAS, FLNIP)",United States of America,"(37.09024, -95.712891)",United States,,
Landikma,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.8907028, 139.2132111)","Landikma, Abenaho, Yalimo Regency, Papua, Indonesia"
near Guayaquil-Simon Bolivar AirportGYE),Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Iwakuni MCAS,Japan,"(36.204824, 138.252924)",Japan,"(34.1434062, 132.2379994)","1 Chome Misumimachi, Iwakuni, Yamaguchi Prefecture 740-0025, Japan"
near Barranca de Upia,Colombia,"(4.570868, -74.297333)",Colombia,"(4.567588000000001, -72.966577)","Barranca de Upía, Meta, Colombia"
"Wichita-Mid-Continent Airport, KSICT)",United States of America,"(37.09024, -95.712891)",United States,"(37.6508529, -97.42869879999999)","Wichita Dwight D. Eisenhower National Airport (ICT), 2277 Eisenhower Airport Pkwy, Wichita, KS 67209, USA"
Flotta AirportFLH),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
near Toba,Japan,"(36.204824, 138.252924)",Japan,"(34.481435, 136.8433615)","Toba, Mie Prefecture, Japan"
near Toba,Japan,"(36.204824, 138.252924)",Japan,"(34.481435, 136.8433615)","Toba, Mie Prefecture, Japan"
41 km25.6 mls) from  Leninakan AirportLWN),Armenia,"(40.069099, 45.038189)",Armenia,,
4 km2.5 mls) SE of Khartoum,Sudan,"(12.862807, 30.217636)",Sudan,,
Athens-Ellinikon International AirportATH),Greece,"(39.074208, 21.824312)",Greece,"(37.9356467, 23.9484156)","Athens International Airport (ATH), Attiki Odos, Spata Artemida 190 04, Greece"
Puerto Vallarta,Mexico,"(23.634501, -102.552784)",Mexico,"(20.653407, -105.2253316)","Puerto Vallarta, Jalisco, Mexico"
Havana-José Martí International AirportHAV),Cuba,"(21.521757, -77.781167)",Cuba,"(22.991533, -82.4100642)","José Martí International Airport (HAV), Avenida Rancho Boyeros, La Habana, Cuba"
near Yangsuo,China,"(35.86166, 104.195397)",China,"(24.77848, 110.496593)","Yangshuo, Guilin, Guangxi, China"
Novyj Urengoj AirportNUX),Russia,"(61.52401, 105.318756)",Russia,"(66.07334999999999, 76.522835)","Novyj Urengoj Airport (NUX), Novy Urengoy, Yamalo-Nenetskiy, Russia, 629305"
at an unknown location,Iraq,"(33.223191, 43.679291)",Iraq,,
Belfast International AirportBFS),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.661781, -6.2162444)","Belfast International Airport (BFS), Airport Rd, Belfast BT29 4AB, UK"
at an unknown location,South Africa,"(-30.559482, 22.937506)",South Africa,,
at an unknown location,Russia,"(61.52401, 105.318756)",Russia,,
near Gevenlik,Turkey,"(38.963745, 35.243322)",Turkey,"(39.782304, 40.319727)","Gevenlik, 24800 Gevenlik Köyü/Tercan/Erzincan, Turkey"
"320 km200 mls) E of Inuvik, NTYEV)",Canada,"(56.130366, -106.346771)",Canada,,
Havana-José Martí International AirportHAV),Cuba,"(21.521757, -77.781167)",Cuba,"(22.991533, -82.4100642)","José Martí International Airport (HAV), Avenida Rancho Boyeros, La Habana, Cuba"
Quetame,Colombia,"(4.570868, -74.297333)",Colombia,"(4.32998, -73.86318299999999)","Quetame, Cundinamarca, Colombia"
